Kreise_Code,D.GVAREALPWln,D.tas,D.tas2,D.hotday.d,D.coldday.d,D.prec,D.precpd,D.CAPPWln,GVAREALPWln0
1001,0.07457449486794321,0.5935864758364318,11.278117228373006,-0.3999999999999986,-2.5999999999999996,-12.997926147678015,0.086527961912648,0.06738936517601157,3.88808864604229
1002,0.04518667158991008,0.7155803568352361,13.971635255628613,3.6000000000000014,-3.5999999999999996,-7.5668940777720195,-0.05282822380857244,0.055067644673302496,4.00330487247535
1003,0.06769850503447827,0.8526500225225302,16.464644761688845,5.199999999999999,-6.2,-28.818253390687346,0.02930285709521252,0.04755374011666813,4.030248871025359
1004,0.14361202626564928,0.47284755345743257,9.151872581432329,-2.1999999999999993,-2.000000000000001,-39.947990176499445,-0.21183816168526048,0.06079036548230565,3.8575795586860675
1051,0.04904540656599643,0.7278895970251966,14.23165416717363,2.1999999999999993,-2.799999999999999,-18.72423338421629,0.008316977977038675,0.03431010951138269,4.071011643317841
1053,0.09250896619037752,0.7914107490250579,15.396854037379896,2.799999999999997,-4.2,-47.26460541496425,-0.13409438428928233,0.04198069321901965,3.917795143923874
1054,0.10042748410468283,0.726873048384622,13.971323110091703,2.6000000000000014,-4.200000000000001,13.29160932497399,0.16842638242634855,0.03555439831364371,3.883770607498497
1055,0.06317132466562336,0.6881135004443841,13.33427178280796,-2.1999999999999993,-3.1999999999999993,-13.805740469940872,-0.019265664505357827,0.04307459562070637,3.8405358841567687
1056,0.09220095944856332,0.6777201530148549,13.412471754968308,0.0,-3.1999999999999993,-86.15008729741766,-0.2841189507641759,0.032405910881097455,4.0057233811580435
1057,0.07594328269042716,0.7544345595300879,14.521641814638528,2.599999999999998,-3.200000000000001,-17.615504179992627,-0.08727154545340077,0.03837017593029923,3.823786744867834
1058,0.06480750996714768,0.6651965057047882,12.73238065275578,2.0,-3.6000000000000005,-14.360352862693901,-0.0061511461203103135,0.04039684844892211,3.9746037477368032
