Kreise_Code,year,EU_Code,ln_gvapw_A.d1,ln_gvapw_BE.d1,ln_gvapw_F.d1,ln_gvapw_GI.d1,tas,tas2,prec,prec2,full05_colddays_f1,full95_hotdays_f1,full05_colddays_f2,full95_hotdays_f2,sq95_hotdays_f1,sq05_colddays_f1,sq95_hotdays_f2,sq05_colddays_f2,full95_wetweeks_f1,full05_dryweeks_f1,full00_dryweeks_f1,sq95_wetweeks_f1,sq05_dryweeks_f1,full95_wetweeks_f2,full05_dryweeks_f2,sq95_wetweeks_f2,sq05_dryweeks_f2,full_mean_precpd,full_std_precpd,sq_mean_precpd,sq_std_precpd,tas.d1,tasXtas.d1,prec,precXprec.d1
1001,1996.0,DEF01,0.1335313926245227,0.001780794536498,-0.0338549931560905,-0.0091440240219098,7.185977920071343,51.638278667752864,5.618076753630917,31.562786409688105,35.0,24.0,34.0,23.0,17.0,20.0,13.0,19.0,1.0,4.0,2.0,1.0,16.0,1.0,4.0,1.0,4.0,2.9883386987398506,4.233856122304747,2.85896155965196,1.122924482314005,-1.6166023706510249,-11.616868941033253,5.618076753630917,-13.393667809191127
1001,1997.0,DEF01,0.1541506798272585,0.0719467807318912,0.037105390872119,0.0370172540198217,9.013197009446577,81.23772033109668,8.004563986899951,64.07304462037564,12.0,50.0,13.0,49.0,56.0,8.0,44.0,8.0,2.0,5.0,3.0,2.0,20.0,2.0,6.0,2.0,4.0,3.5894905770851824,6.251439214807024,3.661807090946555,0.929742472586186,1.8272190893752338,16.469085631960553,8.004563986899951,19.102789762621814
1001,1998.0,DEF01,0.0,0.0275257544530558,0.0192353439867218,0.037238373943468,8.77690210717941,77.03401059901037,11.937177098311173,142.49619707644476,9.0,11.0,9.0,10.0,30.0,10.0,26.0,10.0,11.0,1.0,0.0,10.0,4.0,10.0,1.0,10.0,0.0,4.608948686606624,5.685180873069737,4.625608663914205,0.6210390958879309,-0.23629490226716676,-2.073937225624449,11.937177098311173,46.944299170056276
1001,1999.0,DEF01,0.1177830356563833,0.0239791577535051,0.0146121488342991,0.006405246778105,9.423472374712931,88.80183159697778,11.171104251638075,124.79357020096629,8.0,36.0,8.0,31.0,29.0,2.0,20.0,2.0,7.0,4.0,2.0,7.0,16.0,6.0,4.0,5.0,4.0,4.398072540014991,5.235153784931974,4.43734994849774,0.8120822372820081,0.6465702675335212,6.092937054412887,11.171104251638075,-8.55787963453432
1001,2000.0,DEF01,-0.1177830356563833,0.0720602990022709,0.018398939049331,0.0288065590161945,9.619791804808536,92.54039436786148,8.549728723235752,73.09786124092244,2.0,12.0,2.0,8.0,26.0,2.0,15.0,2.0,3.0,4.0,3.0,4.0,16.0,3.0,4.0,2.0,4.0,3.326742693866054,4.560272759802116,3.3165076185170563,0.1821497936619281,0.19631943009560437,1.8885520447583772,8.549728723235752,-22.41204964956864
1001,2001.0,DEF01,0.0487901641694317,-0.0967055232411757,-0.0850233047642432,0.0575103603719666,8.723811598110215,76.10488879932231,9.3045705168731,86.57503250346416,13.0,31.0,13.0,25.0,37.0,10.0,32.0,10.0,2.0,2.0,0.0,4.0,8.0,2.0,2.0,3.0,2.0,3.578680968028116,5.011235216485979,3.558096570843258,1.5040885588578092,-0.8959802066983205,-7.816362518871996,9.3045705168731,7.023478697981683
1001,2002.0,DEF01,0.1335313926245227,0.281368352718931,0.0840473140562791,-0.0039565983309981,9.515458493521292,90.54395034192648,10.860932710263985,117.95985933688216,3.0,52.0,4.0,44.0,55.0,4.0,34.0,6.0,4.0,4.0,2.0,7.0,16.0,4.0,4.0,7.0,4.0,4.397138749094732,7.198596383247769,4.415421194497834,0.7059319904703633,0.7916468954110769,7.532883174809093,10.860932710263985,16.90354505521725
1001,2003.0,DEF01,0.0,0.1061198046037352,0.0017554524797001,0.0466011085464499,9.17552869451822,84.19032682392721,6.82801054295928,46.62172797476308,12.0,47.0,16.0,38.0,35.0,10.0,23.0,10.0,2.0,7.0,5.0,3.0,28.0,2.0,7.0,2.0,7.0,3.41400527147964,4.990754322164186,3.40322449543696,0.6240144289870784,-0.3399297990030714,-3.119035624874493,6.82801054295928,-27.53683507729071
1001,2004.0,DEF01,-0.1823215567939544,0.2169892973032015,-0.001828341433411,0.0650696476136083,9.016656346623876,81.30009167311262,10.398402521533503,108.12677499983432,4.0,24.0,6.0,16.0,30.0,1.0,22.0,1.0,4.0,2.0,1.0,5.0,8.0,4.0,3.0,4.0,3.0,4.093859260446262,5.940203923596359,4.132190616159769,0.9174905344537988,-0.158872347894345,-1.4324973639445824,10.398402521533503,37.1263729528692
1001,2005.0,DEF01,0.0487901641694317,-0.0558080305004802,-0.0072531511383617,-0.0039769099278106,9.177111503451492,84.2193755467817,8.926321730430567,79.67921963515695,6.0,33.0,6.0,25.0,39.0,2.0,33.0,4.0,3.0,5.0,2.0,6.0,20.0,3.0,5.0,3.0,5.0,3.782339716284137,5.786826497865024,3.798869913116068,0.6730065143542716,0.16045515682761646,1.4725148655108322,8.926321730430567,-13.14026675457156
